Visit Date,Month,Year,Year_Month,Client ID,Client First Visit- Personal Tab,Client First Visit-Date,Client Preferred Agency,Dietary Considerations,Social Assistance,Program Type,Individuals Served,Visit Reasons,Referrals Provided
6/3/21,6,2021,202106,3616287,10/31/19,10/31/19,Hillcrest United Methodist Church,,SNAP (Food Stamps),tefap_food_bank,6,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,4328826,2/22/20,2/22/20,Hamilton United Methodist Church,,SNAP (Food Stamps),non_tefap_market,6,,No Referral no_referral
6/3/21,6,2021,202106,7152412,9/11/21,9/11/21,The Branch,,,tefap_food_bank,6,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,4157415,1/28/20,1/28/20,15th Ave Baptist Village Manor,,,tefap_food_bank,1,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,3616142,10/31/19,10/31/19,Hillcrest United Methodist Church,,,tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,6688859,6/3/21,6/3/21,The Branch,,,tefap_food_bank,4,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,4167352,1/29/20,1/29/20,15th Ave Baptist Village Manor,,,tefap_food_bank,9,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,4146092,1/28/20,1/28/20,15th Ave Baptist Village Manor,,SNAP (Food Stamps),tefap_food_bank,7,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,3613495,10/31/19,10/31/19,Hillcrest United Methodist Church,,Supplemental Security Income (SSI),tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,4238890,2/8/20,2/8/20,15th Ave Baptist Village Manor,,"SNAP (Food Stamps), Supplemental Security Income (SSI)",tefap_food_bank,1,"Low Wages/Not Enough Hours,Ongoing Need",No Referral no_referral
6/3/21,6,2021,202106,3615288,10/31/19,10/31/19,Martha O'Bryan Center,,,tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,4354309,2/26/20,2/26/20,Hamilton United Methodist Church,,SNAP (Food Stamps),tefap_food_bank,5,Low Wages/Not Enough Hours,SNAP social_services
6/3/21,6,2021,202106,6689320,6/3/21,6/3/21,The Branch,,,non_tefap_market,1,Ongoing Need,No Referral no_referral
6/3/21,6,2021,202106,6689436,6/3/21,6/3/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,SNAP social_services
6/3/21,6,2021,202106,4166594,1/29/20,1/29/20,15th Ave Baptist Village Manor,,,tefap_food_bank,1,Ongoing Need,No Referral no_referral
6/3/21,6,2021,202106,4164293,1/29/20,1/29/20,15th Ave Baptist Village Manor,,,tefap_food_bank,1,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,3616344,10/31/19,10/31/19,Hillcrest United Methodist Church,,,tefap_food_bank,1,,No Referral no_referral
6/3/21,6,2021,202106,6689091,6/3/21,6/3/21,The Branch,,,tefap_food_bank,1,Low Wages/Not Enough Hours,SNAP social_services
6/3/21,6,2021,202106,6688441,6/3/21,6/3/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,6687787,6/3/21,6/3/21,The Branch,,,tefap_food_bank,3,Low Wages/Not Enough Hours,SNAP social_services
6/3/21,6,2021,202106,6689334,6/3/21,6/3/21,The Branch,,,tefap_food_bank,6,Ongoing Need,SNAP social_services
6/3/21,6,2021,202106,6688114,6/3/21,6/3/21,The Branch,None,,tefap_food_bank,6,Ongoing Need,No Referral no_referral
6/3/21,6,2021,202106,6688929,6/3/21,6/3/21,The Branch,,,tefap_food_bank,4,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,6688522,6/3/21,6/3/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,6689014,6/3/21,6/3/21,The Branch,,,tefap_food_bank,4,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,6689405,6/3/21,6/3/21,The Branch,,,tefap_food_bank,4,Low Wages/Not Enough Hours,SNAP social_services
6/3/21,6,2021,202106,6688582,6/3/21,6/3/21,The Branch,,,tefap_food_bank,4,Low Wages/Not Enough Hours,SNAP social_services
6/3/21,6,2021,202106,6689179,6/3/21,6/3/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,6689109,6/3/21,6/3/21,The Branch,None,,tefap_food_bank,4,Low Wages/Not Enough Hours,SNAP social_services
6/3/21,6,2021,202106,6689120,6/3/21,6/3/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,SNAP social_services
6/3/21,6,2021,202106,6688971,6/3/21,6/3/21,The Branch,,,tefap_food_bank,6,Low Wages/Not Enough Hours,SNAP social_services
6/3/21,6,2021,202106,6687882,6/3/21,6/3/21,The Branch,,,tefap_food_bank,1,Ongoing Need,No Referral no_referral
6/3/21,6,2021,202106,6689388,6/3/21,6/3/21,The Branch,,,tefap_food_bank,1,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,6687698,6/3/21,6/3/21,The Branch,,,tefap_food_bank,6,Low Wages/Not Enough Hours,SNAP social_services
6/3/21,6,2021,202106,6688503,6/3/21,6/3/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,6689270,6/3/21,6/3/21,The Branch,,,tefap_food_bank,1,Low Wages/Not Enough Hours,SNAP social_services
6/3/21,6,2021,202106,6688403,6/3/21,6/3/21,The Branch,None,,tefap_food_bank,7,Low Wages/Not Enough Hours,SNAP social_services
6/3/21,6,2021,202106,6689220,6/3/21,6/3/21,The Branch,,,tefap_food_bank,3,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,4166212,1/29/20,1/29/20,15th Ave Baptist Village Manor,,,tefap_food_bank,3,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,6688464,6/3/21,6/3/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,6689304,6/3/21,6/3/21,The Branch,,,tefap_food_bank,1,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,6689205,6/3/21,6/3/21,The Branch,,,tefap_food_bank,1,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,6687933,6/3/21,6/3/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,SNAP social_services
6/3/21,6,2021,202106,6689141,6/3/21,6/3/21,The Branch,,,tefap_food_bank,2,,No Referral no_referral
6/3/21,6,2021,202106,6687612,6/3/21,6/3/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,SNAP social_services
6/3/21,6,2021,202106,6689044,6/3/21,6/3/21,The Branch,,,tefap_food_bank,5,Low Wages/Not Enough Hours,SNAP social_services
6/3/21,6,2021,202106,6688756,6/3/21,6/3/21,The Branch,,,non_tefap_market,2,Ongoing Need,No Referral no_referral
6/4/21,6,2021,202106,4156353,1/28/20,1/28/20,15th Ave Baptist Village Manor,,SNAP (Food Stamps),tefap_food_bank,3,Low Wages/Not Enough Hours,No Referral no_referral
6/5/21,6,2021,202106,4643463,4/18/20,4/18/20,Hamilton United Methodist Church,,,tefap_food_bank,1,Low Wages/Not Enough Hours,No Referral no_referral
6/5/21,6,2021,202106,6696495,6/5/21,6/5/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,SNAP social_services
6/5/21,6,2021,202106,6649152,6/5/21,6/5/21,The Branch,,,tefap_food_bank,4,Low Wages/Not Enough Hours,SNAP social_services
6/5/21,6,2021,202106,6696506,6/5/21,6/5/21,The Branch,,SNAP (Food Stamps),tefap_food_bank,3,Low Wages/Not Enough Hours,No Referral no_referral
6/5/21,6,2021,202106,6696515,6/5/21,6/5/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
6/5/21,6,2021,202106,6649151,6/5/21,6/5/21,The Branch,,,tefap_food_bank,3,,No Referral no_referral
6/5/21,6,2021,202106,6696524,6/5/21,6/5/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
6/5/21,6,2021,202106,6696526,6/5/21,6/5/21,The Branch,,,tefap_food_bank,4,Low Wages/Not Enough Hours,No Referral no_referral
6/5/21,6,2021,202106,6696531,6/5/21,6/5/21,The Branch,,,tefap_food_bank,6,Low Wages/Not Enough Hours,No Referral no_referral
6/5/21,6,2021,202106,4147698,1/28/20,1/28/20,15th Ave Baptist Village Manor,,SNAP (Food Stamps),tefap_food_bank,3,Low Wages/Not Enough Hours,No Referral no_referral
6/5/21,6,2021,202106,6696544,6/5/21,6/5/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
6/5/21,6,2021,202106,6696550,6/5/21,6/5/21,The Branch,,,tefap_food_bank,1,Low Wages/Not Enough Hours,No Referral no_referral
6/5/21,6,2021,202106,6696551,6/5/21,6/5/21,The Branch,,SNAP (Food Stamps),tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
6/5/21,6,2021,202106,6100813,1/16/21,1/16/21,Hamilton United Methodist Church,,,non_tefap_market,6,Low Wages/Not Enough Hours,No Referral no_referral
6/5/21,6,2021,202106,6581535,5/6/21,5/6/21,St. Luke's Community House,,,non_tefap_market,4,,No Referral no_referral
6/5/21,6,2021,202106,6649113,6/5/21,6/5/21,The Branch,,,tefap_food_bank,4,Low Wages/Not Enough Hours,No Referral no_referral
6/6/21,6,2021,202106,6696850,6/6/21,6/6/21,The Branch,,,tefap_food_bank,1,Low Wages/Not Enough Hours,SNAP social_services
6/6/21,6,2021,202106,7085082,9/28/21,9/28/21,The Branch,,,tefap_food_bank,3,Low Wages/Not Enough Hours,SNAP social_services
6/6/21,6,2021,202106,6649085,8/16/21,8/16/21,The Branch,,,tefap_food_bank,3,Low Wages/Not Enough Hours,SNAP social_services
6/6/21,6,2021,202106,6696879,6/6/21,6/6/21,The Branch,,SNAP (Food Stamps),tefap_food_bank,5,Low Wages/Not Enough Hours,No Referral no_referral
6/6/21,6,2021,202106,6696885,6/6/21,6/6/21,The Branch,,,tefap_food_bank,4,Low Wages/Not Enough Hours,No Referral no_referral
6/6/21,6,2021,202106,6696890,6/6/21,6/6/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
6/6/21,6,2021,202106,6649091,6/6/21,6/6/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
6/6/21,6,2021,202106,4451006,3/14/20,3/14/20,Hamilton United Methodist Church,,SNAP (Food Stamps),tefap_food_bank,7,Low Wages/Not Enough Hours,No Referral no_referral
6/6/21,6,2021,202106,6649093,6/6/21,6/6/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
6/6/21,6,2021,202106,6696899,6/6/21,6/6/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
6/6/21,6,2021,202106,6649079,6/6/21,6/6/21,The Branch,,,tefap_food_bank,3,Low Wages/Not Enough Hours,No Referral no_referral
6/6/21,6,2021,202106,6647087,6/6/21,6/6/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
6/6/21,6,2021,202106,6696909,6/6/21,6/6/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
6/6/21,6,2021,202106,6644948,6/6/21,6/6/21,The Branch,,,tefap_food_bank,1,Low Wages/Not Enough Hours,No Referral no_referral
6/6/21,6,2021,202106,6696912,6/6/21,6/6/21,The Branch,,,tefap_food_bank,1,Low Wages/Not Enough Hours,No Referral no_referral
6/6/21,6,2021,202106,6696914,6/6/21,6/6/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,SNAP social_services
6/6/21,6,2021,202106,5952388,1/8/21,1/8/21,St. Luke's Community House,,,tefap_food_bank,4,Low Wages/Not Enough Hours,SNAP social_services
6/6/21,6,2021,202106,4732417,5/9/20,5/9/20,Hamilton United Methodist Church,,,tefap_food_bank,4,Low Wages/Not Enough Hours,No Referral no_referral
6/6/21,6,2021,202106,6646000,6/6/21,6/6/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
6/6/21,6,2021,202106,6696921,6/6/21,6/6/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,SNAP social_services
6/6/21,6,2021,202106,9126528,7/9/22,7/9/22,The Branch,,,tefap_food_bank,1,Low Wages/Not Enough Hours,SNAP social_services
6/6/21,6,2021,202106,6696931,6/6/21,6/6/21,The Branch,,,tefap_food_bank,6,Low Wages/Not Enough Hours,SNAP social_services
6/6/21,6,2021,202106,6696946,6/6/21,6/6/21,The Branch,,,tefap_food_bank,4,Low Wages/Not Enough Hours,No Referral no_referral
6/6/21,6,2021,202106,6696951,6/6/21,6/6/21,The Branch,,,tefap_food_bank,4,Low Wages/Not Enough Hours,No Referral no_referral
6/6/21,6,2021,202106,4682070,5/4/20,5/4/20,Christian Cooperative Ministry,,,tefap_food_bank,7,Low Wages/Not Enough Hours,No Referral no_referral
6/7/21,6,2021,202106,6697916,6/5/21,6/5/21,The Branch,,,non_tefap_market,1,Low Wages/Not Enough Hours,No Referral no_referral
6/7/21,6,2021,202106,6697931,6/5/21,6/5/21,The Branch,,,non_tefap_market,1,Ongoing Need,No Referral no_referral
6/7/21,6,2021,202106,6669689,6/5/21,6/5/21,The Branch,,,tefap_food_bank,1,Ongoing Need,No Referral no_referral
6/7/21,6,2021,202106,4163964,1/29/20,1/29/20,15th Ave Baptist Village Manor,,,tefap_food_bank,6,Low Wages/Not Enough Hours,SNAP social_services
6/7/21,6,2021,202106,6669708,6/7/21,6/7/21,The Branch,,,tefap_food_bank,1,Ongoing Need,No Referral no_referral
6/7/21,6,2021,202106,6699859,6/7/21,6/7/21,The Branch,,,tefap_food_bank,5,Ongoing Need,No Referral no_referral
6/7/21,6,2021,202106,6699922,6/7/21,6/7/21,The Branch,,,tefap_food_bank,6,Low Wages/Not Enough Hours,No Referral no_referral
6/7/21,6,2021,202106,6667420,6/7/21,6/7/21,The Branch,,,non_tefap_market,1,Ongoing Need,No Referral no_referral
6/7/21,6,2021,202106,6700036,6/7/21,6/7/21,The Branch,,,tefap_food_bank,3,Low Wages/Not Enough Hours,SNAP social_services
6/7/21,6,2021,202106,6701759,6/7/21,6/7/21,The Branch,,,non_tefap_market,1,Ongoing Need,No Referral no_referral
6/7/21,6,2021,202106,6108639,2/9/21,2/9/21,Rural Hill Church of Christ,,,non_tefap_market,4,Ongoing Need,No Referral no_referral
6/7/21,6,2021,202106,6701821,6/7/21,6/7/21,The Branch,,,non_tefap_market,1,Ongoing Need,No Referral no_referral
6/8/21,6,2021,202106,6702696,6/7/21,6/7/21,The Branch,,,tefap_food_bank,2,Ongoing Need,No Referral no_referral
6/8/21,6,2021,202106,6702496,6/8/21,6/8/21,The Branch,,,tefap_food_bank,4,Low Wages/Not Enough Hours,No Referral no_referral
6/8/21,6,2021,202106,6702550,6/8/21,6/8/21,The Branch,,,tefap_food_bank,4,Low Wages/Not Enough Hours,No Referral no_referral
6/8/21,6,2021,202106,6702578,6/8/21,6/8/21,The Branch,,,tefap_food_bank,5,Low Wages/Not Enough Hours,No Referral no_referral
6/8/21,6,2021,202106,6702632,6/8/21,6/8/21,The Branch,,,tefap_food_bank,5,Low Wages/Not Enough Hours,No Referral no_referral
6/8/21,6,2021,202106,6706594,6/8/21,6/8/21,The Branch,,,tefap_food_bank,1,Ongoing Need,No Referral no_referral
6/8/21,6,2021,202106,4149231,1/28/20,1/28/20,15th Ave Baptist Village Manor,,,tefap_food_bank,2,Ongoing Need,No Referral no_referral
6/8/21,6,2021,202106,6706677,6/8/21,6/8/21,The Branch,,,tefap_food_bank,1,Ongoing Need,No Referral no_referral
6/8/21,6,2021,202106,6706984,6/8/21,6/8/21,The Branch,,,tefap_food_bank,4,Low Wages/Not Enough Hours,No Referral no_referral
6/8/21,6,2021,202106,6707060,6/8/21,6/8/21,The Branch,,,tefap_food_bank,1,Ongoing Need,No Referral no_referral
6/8/21,6,2021,202106,7805165,12/21/21,12/21/21,Rural Hill Church of Christ,,,tefap_food_bank,6,,No Referral no_referral
6/8/21,6,2021,202106,5075400,7/25/20,7/25/20,Hamilton United Methodist Church,,,tefap_food_bank,5,Ongoing Need,No Referral no_referral
6/8/21,6,2021,202106,6707157,6/8/21,6/8/21,The Branch,,,tefap_food_bank,3,Low Wages/Not Enough Hours,No Referral no_referral
6/8/21,6,2021,202106,3616308,10/31/19,10/31/19,Hillcrest United Methodist Church,,,tefap_food_bank,8,Low Wages/Not Enough Hours,No Referral no_referral
6/8/21,6,2021,202106,6707233,6/8/21,6/8/21,The Branch,,,tefap_food_bank,2,Delayed Wages,No Referral no_referral
6/8/21,6,2021,202106,6689320,6/3/21,6/3/21,The Branch,,,non_tefap_market,1,Low Wages/Not Enough Hours,No Referral no_referral
6/8/21,6,2021,202106,6707204,6/8/21,6/8/21,The Branch,,,tefap_food_bank,3,Ongoing Need,No Referral no_referral
6/8/21,6,2021,202106,6707293,6/8/21,6/8/21,The Branch,,,tefap_food_bank,5,Low Wages/Not Enough Hours,No Referral no_referral
6/8/21,6,2021,202106,6707267,6/8/21,6/8/21,The Branch,,,tefap_food_bank,4,Ongoing Need,No Referral no_referral
6/8/21,6,2021,202106,6707392,6/8/21,6/8/21,The Branch,,,tefap_food_bank,1,Ongoing Need,No Referral no_referral
6/8/21,6,2021,202106,6707433,6/8/21,6/8/21,The Branch,,,tefap_food_bank,1,Ongoing Need,No Referral no_referral
6/8/21,6,2021,202106,6707447,6/8/21,6/8/21,The Branch,,,tefap_food_bank,1,Low Wages/Not Enough Hours,No Referral no_referral
6/8/21,6,2021,202106,6707468,6/8/21,6/8/21,The Branch,,,tefap_food_bank,1,Ongoing Need,No Referral no_referral
6/8/21,6,2021,202106,6707503,6/8/21,6/8/21,The Branch,,,tefap_food_bank,4,Low Wages/Not Enough Hours,No Referral no_referral
6/8/21,6,2021,202106,6707536,6/8/21,6/8/21,The Branch,,,tefap_food_bank,5,Ongoing Need,No Referral no_referral
6/8/21,6,2021,202106,4151358,1/28/20,1/28/20,15th Ave Baptist Village Manor,,SNAP (Food Stamps),tefap_food_bank,3,Ongoing Need,No Referral no_referral
6/8/21,6,2021,202106,6707645,6/8/21,6/8/21,The Branch,,,tefap_food_bank,1,Ongoing Need,No Referral no_referral
6/8/21,6,2021,202106,6707688,6/8/21,6/8/21,The Branch,,,tefap_food_bank,4,Low Wages/Not Enough Hours,No Referral no_referral
6/8/21,6,2021,202106,6707707,6/8/21,6/8/21,The Branch,,,tefap_food_bank,2,Ongoing Need,No Referral no_referral
6/8/21,6,2021,202106,6707741,6/8/21,6/8/21,The Branch,,,tefap_food_bank,5,Ongoing Need,No Referral no_referral
6/8/21,6,2021,202106,6707936,6/8/21,6/8/21,The Branch,,,tefap_food_bank,6,Ongoing Need,SNAP social_services
6/8/21,6,2021,202106,6708634,6/8/21,6/8/21,The Branch,,,tefap_food_bank,1,Ongoing Need,No Referral no_referral
6/8/21,6,2021,202106,6708670,6/8/21,6/8/21,The Branch,,,tefap_food_bank,5,Ongoing Need,No Referral no_referral
6/8/21,6,2021,202106,6708714,6/8/21,6/8/21,The Branch,,,tefap_food_bank,3,Ongoing Need,No Referral no_referral
6/8/21,6,2021,202106,4772770,5/27/20,5/27/20,Salvation Army Nashville South,,,non_tefap_market,5,Ongoing Need,No Referral no_referral
6/8/21,6,2021,202106,4772770,5/27/20,5/27/20,Salvation Army Nashville South,,,tefap_food_bank,5,Ongoing Need,No Referral no_referral
6/8/21,6,2021,202106,6708755,6/8/21,6/8/21,The Branch,,,non_tefap_market,1,Ongoing Need,No Referral no_referral
6/8/21,6,2021,202106,6708774,6/8/21,6/8/21,The Branch,,,tefap_food_bank,1,Ongoing Need,No Referral no_referral
6/8/21,6,2021,202106,6708790,6/8/21,6/8/21,The Branch,,,tefap_food_bank,1,Ongoing Need,No Referral no_referral
6/9/21,6,2021,202106,6710596,6/9/21,6/9/21,The Branch,,,tefap_food_bank,1,Low Wages/Not Enough Hours,SNAP social_services
6/9/21,6,2021,202106,6710628,6/9/21,6/9/21,The Branch,,,tefap_food_bank,4,Low Wages/Not Enough Hours,No Referral no_referral
6/9/21,6,2021,202106,6693575,6/4/21,6/4/21,Martha O'Bryan Center,,,tefap_food_bank,5,Low Wages/Not Enough Hours,No Referral no_referral
6/9/21,6,2021,202106,6710670,6/9/21,6/9/21,The Branch,,,tefap_food_bank,3,Delayed Wages,No Referral no_referral
6/9/21,6,2021,202106,6710705,6/9/21,6/9/21,The Branch,,,tefap_food_bank,4,Low Wages/Not Enough Hours,No Referral no_referral
6/9/21,6,2021,202106,6710734,6/9/21,6/9/21,The Branch,,,tefap_food_bank,7,Low Wages/Not Enough Hours,No Referral no_referral
6/9/21,6,2021,202106,6710810,6/9/21,6/9/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
6/9/21,6,2021,202106,6710851,6/9/21,6/9/21,The Branch,,,tefap_food_bank,1,Low Wages/Not Enough Hours,No Referral no_referral
6/9/21,6,2021,202106,6710878,6/9/21,6/9/21,The Branch,,,tefap_food_bank,6,Low Wages/Not Enough Hours,No Referral no_referral
6/9/21,6,2021,202106,6710947,6/9/21,6/9/21,The Branch,,,tefap_food_bank,1,Low Wages/Not Enough Hours,No Referral no_referral
6/9/21,6,2021,202106,6710978,6/9/21,6/9/21,The Branch,,,non_tefap_market,1,"Unhoused,Low Wages/Not Enough Hours,Ongoing Need",No Referral no_referral
6/9/21,6,2021,202106,4162407,1/28/20,1/28/20,15th Ave Baptist Village Manor,,,tefap_food_bank,5,Ongoing Need,No Referral no_referral
6/9/21,6,2021,202106,6711173,6/9/21,6/9/21,The Branch,,,non_tefap_market,1,Ongoing Need,No Referral no_referral
6/9/21,6,2021,202106,6711848,6/9/21,6/9/21,The Branch,,,tefap_food_bank,1,Low Wages/Not Enough Hours,No Referral no_referral
6/9/21,6,2021,202106,6711882,6/9/21,6/9/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
6/9/21,6,2021,202106,5418457,10/13/20,10/13/20,,,,tefap_food_bank,6,Low Wages/Not Enough Hours,No Referral no_referral
6/9/21,6,2021,202106,6711941,6/9/21,6/9/21,The Branch,,,tefap_food_bank,1,Low Wages/Not Enough Hours,No Referral no_referral
6/9/21,6,2021,202106,4161036,1/28/20,1/28/20,15th Ave Baptist Village Manor,,,tefap_food_bank,8,Low Wages/Not Enough Hours,No Referral no_referral
6/9/21,6,2021,202106,4752228,5/16/20,5/16/20,Hamilton United Methodist Church,,,tefap_food_bank,5,Low Wages/Not Enough Hours,SNAP social_services
6/9/21,6,2021,202106,6712018,6/9/21,6/9/21,The Branch,,,tefap_food_bank,1,Low Wages/Not Enough Hours,No Referral no_referral
6/9/21,6,2021,202106,6712707,6/9/21,6/9/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
6/9/21,6,2021,202106,3612187,10/31/19,10/31/19,Hillcrest United Methodist Church,,,tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
